model,family,algorithm,seed_index,actual_rng_seed,true_types,final_cumulative_regret,analytic_outcome_history,matched_to_pact_seed,source_file
DeepSeek-V3.2,LLM-coordination,atom_adaptive_hedge,4,160004,0|0|2,1.8000000000000003,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,econ_bne,0,170000,1|3|2,0.0,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,econ_bne,1,170001,3|2|3,1.9399999999999995,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,econ_bne,2,170002,1|1|1,10.0,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,econ_bne,3,170003,3|1|1,2.9999999999999982,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,econ_bne,4,170004,0|3|1,5.009999999999993,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
GPT-5.4-nano,PACT-family,hpsmg_plus,0,0,3|2|2,0.8999999999999999,True,True,E2_gpt_5_4_nano_20260317_c19_beta0p25.npz
GPT-5.4-nano,PACT-family,hpsmg_plus,1,1,1|2|3,0.7200000000000002,True,True,E2_gpt_5_4_nano_20260317_c19_beta0p25.npz
GPT-5.4-nano,PACT-family,hpsmg_plus,2,2,3|1|0,0.48,True,True,E2_gpt_5_4_nano_20260317_c19_beta0p25.npz
GPT-5.4-nano,PACT-family,hpsmg_plus,3,3,3|0|0,1.2399999999999984,True,True,E2_gpt_5_4_nano_20260317_c19_beta0p25.npz
GPT-5.4-nano,PACT-family,hpsmg_plus,4,4,2|3|3,1.2199999999999998,True,True,E2_gpt_5_4_nano_20260317_c19_beta0p25.npz
GPT-5.4-nano,LLM-coordination,atom_tom0,0,120000,1|1|1,0.40000000000000036,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom0,1,120001,3|1|1,8.399999999999999,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom0,2,120002,2|3|2,11.600000000000001,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom0,3,120003,0|0|2,0.0,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom0,4,120004,1|1|2,0.0,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom1,0,130000,2|2|3,17.269999999999996,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom1,1,130001,0|2|3,14.720000000000006,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom1,2,130002,3|2|0,12.593154219373472,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom1,3,130003,3|3|0,21.180000000000003,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom1,4,130004,1|0|0,1.600000000000005,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom2,0,140000,1|0|1,0.40000000000000036,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom2,1,140001,1|3|0,12.8,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom2,2,140002,0|1|3,13.000000000000007,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom2,3,140003,0|2|1,0.8000000000000007,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_tom2,4,140004,3|3|2,23.999999999999993,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_ftl,0,150000,1|2|3,16.73,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_ftl,1,150001,1|3|2,11.923940453046075,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_ftl,2,150002,1|3|0,10.978686334386248,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_ftl,3,150003,2|2|3,17.810405176092928,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_ftl,4,150004,2|0|3,17.00452905911227,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_hedge,0,160000,1|0|3,13.399999999999997,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_hedge,1,160001,1|0|2,12.297498446967728,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_hedge,2,160002,0|0|1,1.8655259520426657,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_hedge,3,160003,3|0|1,8.831130133709118,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,atom_adaptive_hedge,4,160004,0|0|2,1.8707465862150914,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,econ_bne,0,170000,1|3|2,14.600000000000007,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,econ_bne,1,170001,3|2|3,19.400000000000006,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,econ_bne,2,170002,1|1|1,12.40000000000001,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,econ_bne,3,170003,3|1|1,11.799999999999999,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
GPT-5.4-nano,LLM-coordination,econ_bne,4,170004,0|3|1,16.200000000000003,True,False,E2_external_llm_baselines_gpt_5_4_nano_20260317_c19_K20_s5.npz
Kimi-K2.6,PACT-family,hpsmg_plus,0,0,3|2|2,0.3599999999999999,True,True,E2_Kimi_K2_6_c19_beta0p25.npz
Kimi-K2.6,PACT-family,hpsmg_plus,1,1,1|2|3,0.7200000000000002,True,True,E2_Kimi_K2_6_c19_beta0p25.npz
Kimi-K2.6,PACT-family,hpsmg_plus,2,2,3|1|0,0.45999999999999996,True,True,E2_Kimi_K2_6_c19_beta0p25.npz
Kimi-K2.6,PACT-family,hpsmg_plus,3,3,3|0|0,0.43999999999999995,True,True,E2_Kimi_K2_6_c19_beta0p25.npz
Kimi-K2.6,PACT-family,hpsmg_plus,4,4,2|3|3,1.54,True,True,E2_Kimi_K2_6_c19_beta0p25.npz
Kimi-K2.6,LLM-coordination,atom_tom0,0,120000,1|1|1,7.580000000000002,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom0,1,120001,3|1|1,8.989999999999998,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom0,2,120002,2|3|2,14.390000000000002,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom0,3,120003,0|0|2,20.560000000000002,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom0,4,120004,1|1|2,1.8399999999999999,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom1,0,130000,2|2|3,16.899999999999995,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom1,1,130001,0|2|3,14.810000000000006,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom1,2,130002,3|2|0,11.589999999999998,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom1,3,130003,3|3|0,24.06,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom1,4,130004,1|0|0,2.880000000000005,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom2,0,140000,1|0|1,0.8400000000000003,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom2,1,140001,1|3|0,13.120000000000001,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom2,2,140002,0|1|3,13.360000000000007,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom2,3,140003,0|2|1,2.3400000000000007,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_tom2,4,140004,3|3|2,23.260000000000005,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_ftl,0,150000,1|2|3,13.79000000000001,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_ftl,1,150001,1|3|2,10.289999999999996,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_ftl,2,150002,1|3|0,12.579999999999998,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_ftl,3,150003,2|2|3,17.79,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_ftl,4,150004,2|0|3,16.950000000000006,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_hedge,0,160000,1|0|3,13.839999999999998,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_hedge,1,160001,1|0|2,3.12,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_hedge,2,160002,0|0|1,8.190000000000008,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_hedge,3,160003,3|0|1,9.320000000000002,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,atom_adaptive_hedge,4,160004,0|0|2,2.9500000000000006,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,econ_bne,0,170000,1|3|2,6.690000000000005,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,econ_bne,1,170001,3|2|3,19.890000000000004,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,econ_bne,2,170002,1|1|1,3.9399999999999995,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,econ_bne,3,170003,3|1|1,6.730000000000004,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Kimi-K2.6,LLM-coordination,econ_bne,4,170004,0|3|1,15.190000000000003,True,False,E2_external_llm_baselines_Kimi_K2_6_c19_K20_s5.npz
Llama-4-Maverick,PACT-family,hpsmg_plus,0,0,3|2|2,0.0,True,True,E2_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_beta0p25.npz
Llama-4-Maverick,PACT-family,hpsmg_plus,1,1,1|2|3,1.5600000000000005,True,True,E2_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_beta0p25.npz
Llama-4-Maverick,PACT-family,hpsmg_plus,2,2,3|1|0,0.0,True,True,E2_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_beta0p25.npz
Llama-4-Maverick,PACT-family,hpsmg_plus,3,3,3|0|0,0.0,True,True,E2_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_beta0p25.npz
Llama-4-Maverick,PACT-family,hpsmg_plus,4,4,2|3|3,0.0,True,True,E2_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_beta0p25.npz
Llama-4-Maverick,LLM-coordination,atom_tom0,0,120000,1|1|1,11.799999999999986,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom0,1,120001,3|1|1,0.0,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom0,2,120002,2|3|2,2.9999999999999973,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom0,3,120003,0|0|2,1.0000000000000053,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom0,4,120004,1|1|2,20.399999999999995,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom1,0,130000,2|2|3,16.310000000000002,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom1,1,130001,0|2|3,16.460000000000004,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom1,2,130002,3|2|0,15.459999999999987,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom1,3,130003,3|3|0,27.67,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom1,4,130004,1|0|0,2.650000000000005,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom2,0,140000,1|0|1,4.789999999999997,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom2,1,140001,1|3|0,12.68,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom2,2,140002,0|1|3,12.919999999999998,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom2,3,140003,0|2|1,0.8800000000000003,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_tom2,4,140004,3|3|2,28.060000000000006,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_ftl,0,150000,1|2|3,13.990000000000009,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_ftl,1,150001,1|3|2,10.429999999999996,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_ftl,2,150002,1|3|0,11.599999999999994,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_ftl,3,150003,2|2|3,17.57,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_ftl,4,150004,2|0|3,16.020000000000007,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_hedge,0,160000,1|0|3,12.759999999999996,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_hedge,1,160001,1|0|2,2.7499999999999982,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_hedge,2,160002,0|0|1,7.910000000000006,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_hedge,3,160003,3|0|1,10.810000000000004,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,atom_adaptive_hedge,4,160004,0|0|2,0.8000000000000003,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,econ_bne,0,170000,1|3|2,3.9300000000000073,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,econ_bne,1,170001,3|2|3,0.0,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,econ_bne,2,170002,1|1|1,11.98,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,econ_bne,3,170003,3|1|1,0.0,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
Llama-4-Maverick,LLM-coordination,econ_bne,4,170004,0|3|1,0.9999999999999964,True,False,E2_external_llm_baselines_Llama_4_Maverick_17B_128E_Instruct_FP8_c19_K20_s5.npz
