experiment,model,family,algorithm,seed_index,episode_k,instant_regret,cumulative_regret,welfare,source
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,18,4.440892099e-16,6.661338148e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,19,4.440892099e-16,7.105427358e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,20,4.440892099e-16,7.549516567e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,1,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,2,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,3,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,4,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,5,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,6,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,7,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,8,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,9,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,10,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,11,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,12,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,13,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,14,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,15,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,16,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,17,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,18,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,19,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,20,0,0,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,1,0,0,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,2,0,0,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,3,0,0,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,4,0,0,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,5,0,0,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,6,0.07,0.07,2.93,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,7,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,8,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,9,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,10,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,11,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,12,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,13,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,14,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,15,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,16,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,17,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,18,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,19,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,0,20,0,0.07,3,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,1,0,0,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,2,0,0,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,3,0,0,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,4,0,0,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,5,0.03,0.03,2.92,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,6,0,0.03,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,7,0,0.03,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,8,0.03,0.06,2.92,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,9,0,0.06,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,10,0,0.06,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,11,0,0.06,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,12,0,0.06,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,13,1.05,1.11,1.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,14,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,15,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,16,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,17,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,18,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,19,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,1,20,0,1.11,2.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,1,0.85,0.85,1.95,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,2,0.6,1.45,2.2,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,3,0,1.45,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,4,0,1.45,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,5,0,1.45,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,6,0,1.45,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,7,0,1.45,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,2,8,0,1.45,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
